RUN_ADM;NOM_ADM;RUN_FM;FECHA_INF;ACTIVO_TOT;MONEDA;PARTICIPES_INST;INVERSION_EN_FONDOS;SERIE;CUOTAS_APORTADAS;CUOTAS_RESCATADAS;CUOTAS_EN_CIRCULACION;VALOR_CUOTA;PATRIMONIO_NETO;NUM_PARTICIPES;NUM_PARTICIPES_INST;FONDO_PEN;REM_FIJA;REM_VARIABLE;GASTOS_AFECTOS;GASTOS_NO_AFECTOS;COMISION_INVERSION;COMISION_RESCATE;FACTOR DE AJUSTE;FACTOR DE REPARTO
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;B;0;0;4815069.8039;1729.894;8329560363;1281;0;N;296679.8457;0;3100.2396;1922.621;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;G;0;0;864856.5734;35483.5468;30688178698;19522;2;N;1093042.5538;0;11422.0561;7083.4154;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;GLB;124144.5461;31324.2484;32142088.0355;1246.6071;40068555154;20442;0;N;1538432.8555;0;14927.9813;9257.6233;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;H;19857.8599;0;7884154.62;1798.0186;14175856652;451;0;N;407810.3424;0;5276.1789;3272.0349;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;I;0;0;8972.3185;1391.9445;12488969;1;0;N;239.5191;0;4.6483;2.8827;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;INV;230195.8321;0;36122293.8944;1753.4236;63337682601;3035;0;N;2254552.2097;0;23559.5784;14610.529;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;PAT;1752133.8228;0;33080814.1805;1432.0861;47374574165;335;0;N;1103269.2072;0;17632.4695;10934.8181;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;P;0;0;7490865.7507;1262.7885;9459379125;1;1;N;272126.9601;0;3520.731;2183.3898;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;O;13168.0534;0;1907211.9144;1330.5178;2537579400;14;1;N;0;0;944.4464;585.7007;0;0;;
91999000;PRINCIPAL  ADMINISTRADORA GENERAL DE FONDOS S.A.;8011;20250801;228160821317;$$;S;1;K;0;0;5554182.0213;1275.416;7083892617;86;0;N;145562.4313;0;2636.5657;1635.0725;0;0;;
